p,Pinf
0.5,0.0
0.52,0.0
0.54,0.0
0.56,0.01
0.58,0.14
0.6,0.02
0.62,0.08
0.64,0.53
0.66,0.86
0.68,0.99
0.7,1.0
0.72,1.0
0.74,1.0
0.76,1.0
0.78,1.0
0.8,1.0
